0	0,315	0,2205	0,2205	0,315	NAN	
0,1	0,315	0,2205	0,2205	0,315	NAN	
0,2	0,315	0,2205	0,2205	0,315	NAN	
0,3	0,315	0,2205	0,2205	0,315	NAN	
0,4	0,315	0,2205	0,2205	0,315	NAN	
0,5	0,315	0,2205	0,2205	0,315	NAN	
0,6	0,315	0,2205	0,2205	0,315	NAN	
0,7	0,315	0,2205	0,2205	0,315	NAN	
0,8	0,315	0,2205	0,2205	0,315	NAN	
0,9	0,315	0,2205	0,2205	0,315	NAN	
1	0,315	0,2205	0,2205	0,315	NAN	
1,1	0,315	0,2205	0,2205	0,315	NAN	
1,2	0,315	0,2205	0,2205	0,315	NAN	
1,3	0,345	0,219	0,219	0,345	NAN	
1,4	0,51	0,2205	0,2205	0,51	NAN	
1,5	0,675	0,219	0,219	0,675	NAN	
1,6	0,84	0,2175	0,2175	0,84	NAN	
1,7	1,005	0,219	0,219	1,005	NAN	
1,8	1,005	0,222	0,222	1,005	NAN	
1,9	1,17	0,2235	0,2235	1,17	NAN	
2	1,335	0,2235	0,2235	1,335	NAN	
2,1	1,5	0,2235	0,2235	1,5	NAN	
2,2	1,665	0,2235	0,2235	1,665	NAN	
2,3	1,83	0,2235	0,2235	1,83	NAN	
2,4	1,98	0,2235	0,2235	1,98	NAN	
2,5	2,145	0,225	0,225	2,145	NAN	
2,6	2,295	0,225	0,225	2,295	NAN	
2,7	2,46	0,225	0,225	2,46	NAN	
2,8	2,61	0,225	0,225	2,61	NAN	
2,9	2,76	0,225	0,225	2,76	NAN	
3	2,925	0,225	0,225	2,925	NAN	
3,1	3,075	0,225	0,225	3,075	NAN	
3,2	3,225	0,225	0,225	3,225	NAN	
3,3	3,375	0,225	0,225	3,375	NAN	
3,4	3,525	0,225	0,225	3,525	NAN	
3,5	3,675	0,225	0,225	3,675	NAN	
3,6	3,825	0,2265	0,2265	3,825	NAN	
3,7	3,975	0,2265	0,2265	3,975	NAN	
3,8	4,125	0,24	0,24	4,125	NAN	
3,9	4,26	0,261	0,261	4,26	NAN	
4	4,41	0,216	0,216	4,41	NAN	
4,1	4,56	0,2085	0,2085	4,56	NAN	
4,2	4,71	0,2235	0,2235	4,71	NAN	
4,3	4,845	0,2325	0,2325	4,845	NAN	
4,4	4,995	0,2355	0,2355	4,995	NAN	
4,5	5,13	0,243	0,243	5,13	NAN	
4,6	5,28	0,276	0,276	5,28	NAN	
4,7	5,415	0,2985	0,2985	5,415	NAN	
4,8	5,55	0,2955	0,2955	5,55	NAN	
4,9	5,7	0,285	0,285	5,7	NAN	
5	5,835	0,276	0,276	5,835	NAN	
5,1	5,97	0,2685	0,2685	5,97	NAN	
5,2	6,105	0,2625	0,2625	6,105	NAN	
5,3	6,24	0,261	0,261	6,24	NAN	
5,4	6,375	0,2655	0,2655	6,375	NAN	
5,5	6,51	0,2715	0,2715	6,51	NAN	
5,6	6,645	0,276	0,276	6,645	NAN	
5,7	6,78	0,282	0,282	6,78	NAN	
5,8	6,915	0,2865	0,2865	6,915	NAN	
5,9	7,05	0,291	0,291	7,05	NAN	
6	7,185	0,2955	0,2955	7,185	NAN	
6,1	7,32	0,2985	0,2985	7,32	NAN	
6,2	7,44	0,3	0,3	7,44	NAN	
6,3	7,575	0,3015	0,3015	7,575	NAN	
6,4	7,71	0,303	0,303	7,71	NAN	
6,5	7,83	0,3045	0,3045	7,83	NAN	
6,6	7,965	0,3045	0,3045	7,965	NAN	
6,7	8,085	0,3045	0,3045	8,085	NAN	
6,8	8,22	0,3045	0,3045	8,22	NAN	
6,9	8,34	0,303	0,303	8,34	NAN	
7	8,475	0,303	0,303	8,475	NAN	
7,1	8,595	0,303	0,303	8,595	NAN	
7,2	8,595	0,303	0,303	8,595	NAN	
7,3	8,715	0,303	0,303	8,715	NAN	
7,4	8,835	0,3045	0,3045	8,835	NAN	
7,5	8,97	0,3045	0,3045	8,97	NAN	
7,6	9,09	0,306	0,306	9,09	NAN	
